indicador,estimado,muestra,precision,error_estandar,ic90,cv,denominador,muestra_dominio,porcentaje,error_estandar_pp,valor,universo_estimado,mediana,q1,q3,mujeres_estimadas_con_dato,promedio
edad_65-69,1558.0,499.0,aproximada_no_oficial,,"[2.48, 2.92]",4.94,57844.0,17936.0,2.69,0.13,,,,,,,
edad_70-74,1144.0,367.0,aproximada_no_oficial,,"[1.79, 2.18]",5.97,57844.0,17936.0,1.98,0.12,,,,,,,
edad_75+,1663.0,525.0,aproximada_no_oficial,,"[2.64, 3.13]",5.18,57844.0,17936.0,2.87,0.15,,,,,,,
edad_mediana_ponderada_sin_interpolacion,,,,,,,,,,,30.0,,,,,,
localidad_menos_2500,10440.0,3219.0,aproximada_no_oficial,,"[14.82, 21.8]",11.73,57844.0,17936.0,18.05,2.12,,,,,,,
localidad_2500_14999,12696.0,4817.0,aproximada_no_oficial,,"[18.87, 25.37]",8.97,57844.0,17936.0,21.95,1.97,,,,,,,
localidad_15000_49999,34708.0,9900.0,aproximada_no_oficial,,"[55.82, 64.04]",4.17,57844.0,17936.0,60.0,2.5,,,,,,,
localidad_50000_99999,0.0,0.0,aproximada_no_oficial,,"[0.0, np.float64(0.0)]",,57844.0,17936.0,0.0,0.0,,,,,,,
localidad_100000_mas,0.0,0.0,aproximada_no_oficial,,"[0.0, np.float64(0.0)]",,57844.0,17936.0,0.0,0.0,,,,,,,
nacido_oaxaca,51459.0,16052.0,aproximada_no_oficial,,"[87.9, 89.94]",0.69,57844.0,17936.0,88.96,0.62,,,,,,,
nacido_otra_entidad,5631.0,1662.0,aproximada_no_oficial,,"[8.87, 10.68]",5.64,57844.0,17936.0,9.73,0.55,,,,,,,
nacido_otro_pais,735.0,217.0,aproximada_no_oficial,,"[1.06, 1.53]",11.17,57844.0,17936.0,1.27,0.14,,,,,,,
mismo_municipio_2020,48164.0,14969.0,aproximada_no_oficial,,"[88.07, 90.06]",0.68,54054.0,16757.0,89.1,0.6,,,,,,,
otra_entidad_2020,2086.0,626.0,aproximada_no_oficial,,"[3.36, 4.43]",8.43,54054.0,16757.0,3.86,0.33,,,,,,,
otro_pais_2020,470.0,140.0,aproximada_no_oficial,,"[0.69, 1.09]",13.66,54054.0,16757.0,0.87,0.12,,,,,,,
indigena_autoadscripcion,23777.0,7423.0,aproximada_no_oficial,,"[38.52, 43.74]",3.86,57844.0,17936.0,41.11,1.58,,,,,,,
afro_autoadscripcion,4734.0,1428.0,aproximada_no_oficial,,"[7.26, 9.21]",7.22,57844.0,17936.0,8.18,0.59,,,,,,,
habla_lengua_indigena_3mas,2277.0,691.0,aproximada_no_oficial,,"[3.67, 4.56]",6.64,55647.0,17250.0,4.09,0.27,,,,,,,
habla_espanol_entre_hli,2262.0,687.0,aproximada_no_oficial,,"[98.51, 99.71]",0.33,2277.0,691.0,99.34,0.33,,,,,,,
discapacidad,2966.0,952.0,aproximada_no_oficial,202.57,"[2632.78, 3299.22]",6.83,,,,,,,,,,,
discapacidad_pct,2966.0,952.0,aproximada_no_oficial,,"[4.73, 5.56]",4.94,57844.0,17936.0,5.13,0.25,,,,,,,
condicion_mental,663.0,210.0,aproximada_no_oficial,,"[1.0, 1.31]",8.04,57844.0,17936.0,1.15,0.09,,,,,,,
discapacidad_60mas,1672.0,537.0,aproximada_no_oficial,,"[23.11, 27.69]",5.48,6601.0,2095.0,25.33,1.39,,,,,,,
asiste_6_14,8163.0,2530.0,aproximada_no_oficial,,"[93.97, 95.55]",0.51,8609.0,2673.0,94.82,0.48,,,,,,,
no_asiste_6_14,423.0,136.0,aproximada_no_oficial,,"[4.2, 5.75]",9.56,8609.0,2673.0,4.91,0.47,,,,,,,
asiste_15_17,2178.0,668.0,aproximada_no_oficial,,"[64.18, 70.28]",2.75,3236.0,998.0,67.31,1.85,,,,,,,
asiste_18_24,1632.0,491.0,aproximada_no_oficial,,"[22.78, 27.57]",5.79,6503.0,1997.0,25.1,1.45,,,,,,,
analfabetismo_15mas,2734.0,889.0,aproximada_no_oficial,,"[5.61, 6.7]",5.4,44577.0,13812.0,6.13,0.33,,,,,,,
analfabetismo_mujeres_15mas,1664.0,539.0,aproximada_no_oficial,,"[6.4, 7.65]",5.41,23761.0,7362.0,7.0,0.38,,,,,,,
analfabetismo_hombres_15mas,1070.0,350.0,aproximada_no_oficial,,"[4.54, 5.82]",7.51,20816.0,6450.0,5.14,0.39,,,,,,,
